merchant_id,category_name,category_name_new
13142,Frauen > Bekleidung > Shirts > 3/4 Shirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Shirts > Langarmshirts > Uni,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Shorts > Jeans Shorts,Bekleidung > Damen > Hosen > Jeans,
13142,Frauen > Bekleidung > Shorts > Stoffshorts,Bekleidung > Damen > Hosen > Shorts,
13142,Frauen > Bekleidung > Strick > Boleros,Bekleidung > Damen > Jacken & Mäntel > Jacken,
13142,Frauen > Bekleidung > Strick > Feinstrickpullover > Rollkragen,Bekleidung > Damen > Pullover & Strickjacken > Pullover > Rollkragenpullover,
13142,Frauen > Bekleidung > Strick > Feinstrickpullover > Rundhals > Gemustert,Bekleidung > Damen > Pullover & Strickjacken > Pullover,
13142,Frauen > Bekleidung > Strick > Feinstrickpullover > Rundhals > Uni,Bekleidung > Damen > Pullover & Strickjacken > Pullover,
13142,Frauen > Bekleidung > Strick > Feinstrickpullover > U-Boot-Ausschnitt,Bekleidung > Damen > Pullover & Strickjacken > Pullover,
13142,Frauen > Bekleidung > Strick > Feinstrickpullover > V-Ausschnitt,Bekleidung > Damen > Pullover & Strickjacken > Pullover,
13142,Frauen > Bekleidung > Strick > Strickjacken,Bekleidung > Damen > Pullover & Strickjacken > Strickjacken,
13142,Frauen > Bekleidung > Strick > Strickjacken > Feinstrickjacken > Kurz,Bekleidung > Damen > Pullover & Strickjacken > Strickjacken,
13142,Frauen > Bekleidung > Strick > Strickjacken > Feinstrickjacken > Lang,Bekleidung > Damen > Pullover & Strickjacken > Strickjacken,
13142,Frauen > Bekleidung > Strick > Strickjacken > Grobstrickjacken > Kurz,Bekleidung > Damen > Pullover & Strickjacken > Strickjacken,
13142,Frauen > Bekleidung > Strick > Strickjacken > Grobstrickjacken > Lang,Bekleidung > Damen > Pullover & Strickjacken > Strickjacken,
13142,Frauen > Bekleidung > Sweat > Fleecejacken,Bekleidung > Damen > Pullover & Strickjacken,
13142,Frauen > Bekleidung > Sweat > Hoodies,Bekleidung > Damen > Pullover & Strickjacken > Pullover > Kapuzenpullover,
